session_id,user_id,timestamp,ip_address,mouse_movements,keyboard_inputs,time_on_page,js_enabled,is_bot
1,7,23-01-2024 11.22,195.71.210.159,41,62,132,0,1
2,19,20-06-2024 05.54,47.233.202.215,71,44,37,1,1
3,18,05-04-2024 20.27,190.237.225.176,74,94,162,0,1
4,38,08-04-2024 14.48,112.0.92.40,82,7,183,0,1
5,23,22-06-2024 02.41,183.143.122.177,16,60,30,1,0
6,32,16-04-2024 00.03,211.103.218.173,37,92,183,0,1
7,26,02-07-2024 21.56,106.199.185.210,14,54,154,1,1
8,28,28-01-2024 17.17,186.144.104.167,56,92,147,1,0
9,18,10-04-2024 20.39,38.120.191.142,69,13,140,0,0
10,47,27-08-2024 01.16,21.60.220.197,77,60,54,1,1
11,28,17-02-2024 01.16,72.32.36.160,12,98,166,1,1
12,15,07-08-2024 02.38,12.121.152.93,50,14,180,1,1
13,7,08-02-2024 07.07,193.19.103.206,3,50,88,1,1
14,38,19-05-2024 11.53,6.230.212.189,39,25,70,0,0
15,38,04-03-2024 08.53,129.149.106.112,34,1,148,1,1
16,21,10-05-2024 22.56,71.165.154.174,39,37,58,1,0
17,30,15-04-2024 19.34,148.232.228.38,88,24,200,1,1
18,35,01-04-2024 19.02,148.141.44.143,19,84,180,0,1
19,25,11-04-2024 10.11,60.167.96.88,25,42,62,0,0
20,35,18-04-2024 05.45,88.200.147.220,60,22,102,0,0
21,25,03-02-2024 03.17,14.113.125.46,8,57,49,1,1
22,41,27-01-2024 03.49,112.250.97.93,57,71,96,0,1
23,19,13-08-2024 16.48,82.102.69.236,5,19,75,0,0
24,30,25-05-2024 09.55,211.196.179.72,92,34,194,0,0
25,5,28-04-2024 16.50,12.244.177.113,35,28,78,0,1
26,21,14-04-2024 23.27,9.122.161.251,51,53,185,1,0
27,47,21-07-2024 16.05,86.173.222.215,65,20,49,1,0
28,34,24-02-2024 12.55,26.244.152.68,99,82,189,1,0
29,45,26-02-2024 09.31,112.158.191.23,14,16,199,0,0
30,42,19-02-2024 13.49,19.232.20.180,8,65,81,1,0
31,29,24-06-2024 23.41,161.233.169.204,83,61,193,0,0
32,41,28-07-2024 01.35,76.95.58.24,3,70,55,1,0
33,48,28-02-2024 00.53,8.69.213.161,89,89,143,0,0
34,1,14-08-2024 17.21,205.167.76.19,59,98,85,1,0
35,36,09-05-2024 05.47,171.74.121.159,28,35,197,0,0
36,12,10-03-2024 19.21,84.93.6.39,44,86,23,1,1
37,3,17-07-2024 15.58,100.62.197.19,60,96,47,0,1
38,41,11-08-2024 20.19,20.248.104.132,20,21,48,0,1
39,34,06-02-2024 13.40,29.173.44.55,10,41,55,1,0
40,26,12-04-2024 12.41,220.104.113.199,67,3,127,1,1
41,16,16-08-2024 16.48,49.191.9.170,13,91,62,1,0
42,20,30-08-2024 22.38,56.73.53.196,19,65,188,1,0
43,2,02-06-2024 10.43,165.180.102.202,8,76,46,0,1
44,13,16-06-2024 15.02,179.114.107.176,51,90,191,0,1
45,47,22-05-2024 21.48,54.162.131.110,65,95,35,0,1
46,47,05-03-2024 18.42,206.12.137.152,68,96,159,1,0
47,38,14-08-2024 14.23,133.184.189.141,100,8,154,1,1
